folder,volume_m3,slope_deg,potential_energy_MJ,plastic_energy_MJ_front,plastic_energy_MJ_rear,sleout_energy_max_J,impact_duration_s,rcforce_force_max_N,rcforce_impulse_Ns
251210_new_batch\batch_16\N047_V1691_PE1693_47deg,1691,47,1693,363.20618599694086,221.99063062364127,10670000.0,4.330000162099999,21571415.166666664,2737411.850132675
251210_new_batch\batch_16\N048_V2829_PE2569_42deg,2829,42,2569,568.9085752996203,553.4447488980996,19540000.0,4.063998937599999,24541321.375,4654940.620743128
251210_new_batch\batch_16\N049_V2084_PE1592_34deg,2084,34,1592,299.1259303920735,223.4494731318764,8239000.0,4.6769998073,26919349.33333333,2695881.3099557064
251210_new_batch\batch_17\N000_V4813_PE4606_45deg,4813,45,4606,779.7966273212722,738.4366541435279,27260000.0,5.1210000515,17985546.427083332,6586265.114484136
251210_new_batch\batch_17\N001_V2901_PE3283_57deg,2901,57,3283,770.9118708889814,526.0294750827952,19170000.0,4.916999816900001,33212565.33333333,5019082.506301866
251210_new_batch\batch_17\N002_V4740_PE4073_39deg,4740,39,4073,769.0324763017185,702.5675804884264,26090000.0,5.1999998092,29517245.33333333,7017162.708903862
251210_new_batch\batch_17\N003_V3964_PE4336_55deg,3964,55,4336,779.1062454416304,698.8120765566747,22110000.0,4.9919998646,22950928.666666664,6499521.30362512
251210_new_batch\batch_17\N004_V3509_PE3669_51deg,3509,51,3669,775.2465773329691,663.7571652483213,23470000.0,4.360998868899999,30581336.0,7434640.66449316
251210_new_batch\batch_17\N005_V5073_PE5511_54deg,5073,54,5511,782.0502449754786,660.9672121475791,22550000.0,4.3240010739,24966384.385416664,6213780.378804995
251210_new_batch\batch_17\N006_V3068_PE2481_36deg,3068,36,2481,763.8076780167572,511.4581862365104,19920000.0,5.3909993172,18474072.197916664,4321947.999150378
251210_new_batch\batch_17\N007_V4205_PE4407_51deg,4205,51,4407,771.2373190605712,684.9576114665144,23030000.0,5.2209992408,21119413.83333333,5189228.051381909
251210_new_batch\batch_17\N008_V1297_PE1492_59deg,1297,59,1492,328.3305955537576,264.7222298349934,10210000.0,3.992998123200001,28550942.0,2803659.3869446507
251210_new_batch\batch_17\N009_V5336_PE3793_31deg,5336,31,3793,774.6715294754297,615.0543827128377,23020000.0,5.612999916,23214890.666666664,6719679.075731099
251210_new_batch\batch_17\N011_V5229_PE4115_35deg,5229,35,4115,554.7096814028583,311.6553080078799,15580000.0,5.5570013523,29465483.291666664,7862852.39933314
251210_new_batch\batch_17\N013_V1893_PE2145_58deg,1893,58,2145,565.9543875922641,285.22510752186133,12850000.0,4.1430001259,14623734.666666666,2771612.5761329858
251210_new_batch\batch_17\N014_V1179_PE1225_50deg,1179,50,1225,360.6559682519027,236.0831508344231,10240000.0,4.3069999218,18444858.77083333,2390063.152577396
251210_new_batch\batch_17\N015_V4740_PE5488_60deg,4740,60,5488,761.6983118750856,432.55251813705536,18900000.0,4.4690001011,18642866.666666664,5793392.06265859
